file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1460,0.0007709957426413894,1788163040.592381
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1470,0.0007522969972342253,1788163142.966328
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1480,0.000736719579435885,1788163230.4411025
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1490,0.0007303417660295963,1788163333.2740102
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1500,0.0007308246567845345,1788163424.1501205
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1510,0.0007177686784416437,1788163534.529867
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1520,0.0006861392175778747,1788163640.377283
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1530,0.000669643806759268,1788163720.7689788
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1540,0.0006546175573021173,1788163795.640273
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1550,0.0006278773071244359,1788163879.2643187
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1560,0.0005954410880804062,1788163980.6119509
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1570,0.0005616676644422114,1788164085.5882862
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1580,0.0005219021113589406,1788164169.461487
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1590,0.000477099500130862,1788164279.9993274
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1600,0.0004148018197156489,1788164386.821121
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1610,0.0003421213186811656,1788164466.1036198
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1620,0.0002818620123434812,1788164551.85768
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1630,0.00025576874031685293,1788164654.0520263
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1640,0.00025484029902145267,1788164742.7811372
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1650,0.0002415466879028827,1788164849.333156
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1660,0.00020154434605501592,1788164941.0695286
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1670,0.0001764461921993643,1788165018.4774072
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1680,0.00017087558808270842,1788165099.3144076
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1690,0.00015688876737840474,1788165192.4309034
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1700,0.00013452708662953228,1788165285.2531705
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1710,0.0001018625043798238,1788165382.2814095
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1720,7.5759511673823e-05,1788165484.1850104
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,10,0.3211212158203125,1788149359.6546762
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,20,0.1824798583984375,1788149444.623446
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,30,0.523284912109375,1788149546.7180536
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,40,0.355133056640625,1788149643.3562593
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,50,0.5450592041015625,1788149736.0069904
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,60,0.73614501953125,1788149822.5874019
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,70,0.7711868286132812,1788149930.1046753
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,80,0.44689178466796875,1788150017.0757706
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,90,0.61480712890625,1788150107.8700576
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,100,0.6434555053710938,1788150199.8093042
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,110,0.5814590454101562,1788150301.2556674
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,120,0.694122314453125,1788150402.778839
events.out.tfevents.1788149260.VCM15.612366.0,train/degraded_bg_ratio,130,0.36769866943359375,1788150482.7367
